sample_index,EXG_CH0,EXG_CH1,EXG_CH2,EXG_CH3,Accel_X,Accel_Y,Accel_Z,timestamp,marker,time_s
29.0,25.190488872172672,-1.3043891345172423,0.9016455041322359,-2.4592152573668056,-0.0160000007599592,0.9280000440776348,0.4160000197589397,2026-04-16 21:09:35.780,0.0,6.29
30.0,22.464750710684857,1.5523825782006224,-1.4614643301468004,-1.3499910485538473,-0.0160000007599592,0.9280000440776348,0.4000000189989805,2026-04-16 21:09:35.809,0.0,6.295
30.0,14.512080482818758,2.1252727630399137,-0.17220269628911475,0.9727127458880583,-0.0160000007599592,0.9280000440776348,0.4000000189989805,2026-04-16 21:09:35.809,0.0,6.3
31.0,14.626433813255911,-4.106461362505191,3.3357213632345317,0.39533277699969105,-0.0160000007599592,0.9280000440776348,0.4000000189989805,2026-04-16 21:09:35.809,0.0,6.305
31.0,15.086500620763157,-6.337881431817893,1.6570149959615172,1.0236874202165276,-0.0160000007599592,0.9280000440776348,0.4000000189989805,2026-04-16 21:09:35.809,0.0,6.31
32.0,8.059978848537728,-1.756906584205267,3.608382742186026,-0.05864311448021037,-0.0320000015199184,0.9280000440776348,0.4000000189989805,2026-04-16 21:09:35.839,0.0,6.315
32.0,9.286970258468063,-6.518886905541339,4.332855521735234,-2.4836154716010546,-0.0320000015199184,0.9280000440776348,0.4000000189989805,2026-04-16 21:09:35.839,0.0,6.32
33.0,3.6106784760601025,-9.621762120372992,-0.1555491343419807,-1.0099428298022408,-0.0320000015199184,0.9280000440776348,0.4000000189989805,2026-04-16 21:09:35.839,0.0,6.325
33.0,1.45749343708201,-8.156472254763417,2.353389098527386,-0.5154141638838834,-0.0320000015199184,0.9280000440776348,0.4000000189989805,2026-04-16 21:09:35.839,0.0,6.33
34.0,-0.09054151444523004,-17.24495243054972,1.140363156123965,0.8286637131964983,-0.0320000015199184,0.9280000440776348,0.4000000189989805,2026-04-16 21:09:35.839,0.0,6.335
34.0,0.12166124583048771,-18.97241478253258,-1.4045934034093137,1.5200437391630397,-0.0320000015199184,0.9280000440776348,0.4000000189989805,2026-04-16 21:09:35.839,0.0,6.34
35.0,1.349674291041043,-17.627936397790755,-0.245168033110315,0.5722591081123967,-0.0320000015199184,0.9280000440776348,0.4000000189989805,2026-04-16 21:09:35.841,0.0,6.345
35.0,-2.6219685226107536,-13.251170642535026,-0.44073536162670424,0.05370327990729701,-0.0320000015199184,0.9280000440776348,0.4000000189989805,2026-04-16 21:09:35.841,0.0,6.35
